numrooms,squaremeters,numberoffloors,floor,price,district,street,builtyear,ceilinghight,isnewbuilding,seller,bathroomtype,residentialcomplex,repaired,city
3,121.66,,,107060800,есильский,,2024,3.0,True,новостройка,2 с/у и более,dara residence,,Астана
2,70.85,,,43927000,нуринский,,2024,3.0,True,новостройка,2 с/у и более,evolution,,Астана
2,63.96,,,26863200,есильский,,2025,2.85,True,новостройка,совмещенный,salt,,Астана
2,50.0,,,29000000,есильский,,2023,2.8,False,крыша агент,совмещенный,,,Астана
1,44.0,16.0,2.0,21200000,алматинский,,2024,3.0,False,крыша агент,совмещенный,tengri city jassyl,черновая отделка,Астана
1,39.92,,,19520880,нуринский,,2024,3.0,True,новостройка,совмещенный,ecopark,,Астана
3,95.1,,,58962000,алматинский,,2023,3.0,True,новостройка,2 с/у и более,austria,,Астана
1,31.44,,,13362000,есильский,,2024,2.7,True,новостройка,совмещенный,jetisu.kerbez,,Астана
2,58.56,,,20700000,нуринский,,2024,3.0,True,новостройка,совмещенный,delta,,Астана
1,28.66,,,6878400,нуринский,,2023,2.7,True,новостройка,раздельный,мжк астана,,Астана
2,44.5,9.0,4.0,21800000,есильский,,2020,2.7,False,специалист,совмещенный,nova city на туране,,Астана
2,91.0,9.0,9.0,40000000,есильский,,2005,3.0,False,крыша агент,2 с/у и более,алматы,,Астана
2,62.55,14.0,6.0,28000000,алматинский,,2023,3.0,False,крыша агент,совмещенный,zauzar,,Астана
1,40.13,8.0,3.0,19900000,алматинский,,2023,3.0,False,крыша агент,раздельный,мынжылдык,черновая отделка,Астана
1,38.0,12.0,11.0,24500000,есильский,,2023,3.0,False,крыша агент,совмещенный,gamma,,Астана
2,50.0,9.0,3.0,22500000,есильский,,2023,3.0,False,хозяин недвижимости,,dastur,,Астана
1,43.4,9.0,9.0,15000000,сарыаркинский,,2011,2.8,False,крыша агент,совмещенный,,,Астана
3,92.13,,,53900000,нуринский,,2023,3.1,True,новостройка,2 с/у и более,four seasons,,Астана
1,34.72,,,8680000,,,2024,2.8,True,новостройка,совмещенный,aq shanyraq,,Астана
2,58.78,,,15576700,алматинский,,2025,2.7,True,новостройка,совмещенный,tasty,,Астана
1,35.4,5.0,1.0,11750000,алматинский,,1981,,False,специалист,совмещенный,,,Астана
1,40.0,12.0,8.0,21500000,есильский,,2021,3.0,False,крыша агент,совмещенный,madrid,,Астана
1,18.0,5.0,4.0,6000000,байконурский,,1978,2.8,False,крыша агент,,,,Астана
3,110.0,12.0,10.0,44700000,алматинский,,2014,2.9,False,крыша агент,раздельный,барыс,хороший ремонт,Астана
2,57.8,,,28900000,есильский,,2024,2.85,True,новостройка,совмещенный,aiva,,Астана
2,65.0,16.0,4.0,27000000,алматинский,,2009,2.8,False,хозяин недвижимости,совмещенный,независимость,,Астана
2,56.13,12.0,12.0,16300000,алматинский,,2024,3.0,False,крыша агент,,,черновая отделка,Астана
1,44.0,16.0,3.0,22500000,есильский,,2022,3.0,False,крыша агент,раздельный,soul park,качественный ремонт,Астана
3,93.0,14.0,14.0,38000000,,,2023,2.85,False,крыша агент,,,,Астана
1,38.0,9.0,6.0,18500000,есильский,,2018,2.0,False,специалист,,,,Астана
2,36.0,12.0,6.0,15350000,алматинский,,2015,2.7,False,крыша агент,совмещенный,саламат,хороший ремонт,Астана
1,40.0,7.0,6.0,20500000,алматинский,,2019,2.8,False,крыша агент,совмещенный,отан,,Астана
1,43.0,18.0,11.0,22600000,нуринский,,2024,3.0,False,крыша агент,,respublika,,Астана
2,47.3,21.0,16.0,21500000,алматинский,,2023,2.9,False,крыша агент,совмещенный,tomiris towers,черновая отделка,Астана
2,50.0,5.0,2.0,19500000,алматинский,,1983,,False,крыша агент,совмещенный,,,Астана
2,69.71,20.0,10.0,55000000,есильский,,2023,3.0,False,крыша агент,2 с/у и более,shabyt,черновая отделка,Астана
2,50.0,12.0,9.0,34000000,есильский,,2021,3.0,False,крыша агент,совмещенный,greenline.tokyo,черновая отделка,Астана
4,117.4,13.0,13.0,95000000,нуринский,,2021,3.0,False,хозяин недвижимости,2 с/у и более,athletic,,Астана
1,24.0,9.0,6.0,10000000,алматинский,,2023,2.85,False,крыша агент,совмещенный,,,Астана
3,107.51,,,59130500,есильский,,2024,3.0,True,новостройка,2 с/у и более,talmas,,Астана
4,182.1,,,124920600,алматинский,,2023,3.0,True,новостройка,2 с/у и более,austria,,Астана
2,39.96,,,17582400,нуринский,,2024,3.0,True,новостройка,совмещенный,rauda,,Астана
3,72.0,12.0,9.0,27400000,сарыаркинский,,2021,2.7,False,крыша агент,2 с/у и более,баспана коктал,хороший ремонт,Астана
1,42.0,17.0,7.0,23000000,есильский,,2024,3.0,False,крыша агент,совмещенный,buqar jyrau exclusive,,Астана
3,120.0,36.0,12.0,65000000,есильский,,2006,3.0,False,крыша агент,,триумф астаны,,Астана
3,95.49,,,50132250,нуринский,,2024,3.0,True,новостройка,,eva,,Астана
1,36.0,6.0,5.0,14000000,сарыаркинский,,2011,2.7,False,крыша агент,,,требует ремонта,Астана
2,80.45,,,64440450,есильский,,2023,3.0,True,новостройка,2 с/у и более,garden view,,Астана
3,118.03,,,72942540,есильский,,2025,3.0,True,новостройка,2 с/у и более,nexpo vision,,Астана
1,39.0,5.0,2.0,15200000,байконурский,,2005,2.7,False,крыша агент,совмещенный,,,Астана
1,41.4,14.0,9.0,23900000,есильский,,2021,2.7,False,крыша агент,совмещенный,capital park.flowers,,Астана
3,72.0,12.0,9.0,27400000,сарыаркинский,,2021,2.7,False,крыша агент,2 с/у и более,баспана коктал,хороший ремонт,Астана
1,42.0,17.0,7.0,23000000,есильский,,2024,3.0,False,крыша агент,совмещенный,buqar jyrau exclusive,,Астана
3,120.0,36.0,12.0,65000000,есильский,,2006,3.0,False,крыша агент,,триумф астаны,,Астана
3,95.49,,,50132250,нуринский,,2024,3.0,True,новостройка,,eva,,Астана
1,36.0,6.0,5.0,14000000,сарыаркинский,,2011,2.7,False,крыша агент,,,требует ремонта,Астана
2,80.45,,,64440450,есильский,,2023,3.0,True,новостройка,2 с/у и более,garden view,,Астана
3,118.03,,,72942540,есильский,,2025,3.0,True,новостройка,2 с/у и более,nexpo vision,,Астана
1,39.0,5.0,2.0,15200000,байконурский,,2005,2.7,False,крыша агент,совмещенный,,,Астана
1,41.4,14.0,9.0,23900000,есильский,,2021,2.7,False,крыша агент,совмещенный,capital park.flowers,,Астана
1,38.0,14.0,4.0,18700000,нуринский,,2024,2.7,False,крыша агент,,turan life,черновая отделка,Астана
2,65.0,17.0,11.0,28800000,есильский,,2023,3.0,False,крыша агент,,turan palace,черновая отделка,Астана
