numrooms,sqauremeters,level,price,distrcit,builtyear,ceilinghight,seller,bathroomtype,repaired
3,69.0,2,57000000,Бостандыкский,2016,2.9,Хозяин недвижимости,санузел совмещенный,0
2,51.0,2,37000000,Алмалинский,2019,2.7,Компания,санузел совмещенный,0
3,130.0,2,75000000,Алмалинский,2012,2.8,Хозяин недвижимости,санузел 2 с/у и более,0
2,74.0,4,48500000,Ауэзовский,2017,2.5,Хозяин недвижимости,санузел совмещенный,0
3,80.0,2,28500000,Алатауский,2011,2.7,Компания,санузел совмещенный,0
1,34.0,2,22300000,Наурызбайский,2023,2.7,Хозяин недвижимости,санузел совмещенный,1
1,16.4,3,12800000,Ауэзовский,1971,2.7,Хозяин недвижимости,санузел совмещенный,1
4,88.0,1,49000000,Алмалинский,1985,2.8,Хозяин недвижимости,санузел раздельный,1
2,47.1,11,48000000,Алмалинский,2023,3.0,Хозяин недвижимости,санузел совмещенный,0
1,44.4,10,38900000,Алмалинский,2023,2.7,Хозяин недвижимости,санузел раздельный,1
3,73.5,4,45500000,Алмалинский,1992,2.9,Хозяин недвижимости,санузел 2 с/у и более,0
2,77.0,1,67700000,Бостандыкский,2022,3.0,Крыша Агент,санузел совмещенный,0
1,47.0,1,28000000,Жетысуский,2005,2.7,Крыша Агент,санузел совмещенный,0
2,52.0,2,40000000,Алмалинский,1977,2.8,Компания,санузел раздельный,0
1,40.0,9,26000000,Наурызбайский,2023,2.8,Крыша Агент,санузел совмещенный,0
3,96.0,3,75000000,Бостандыкский,2023,3,Компания,санузел совмещенный,0
4,172.0,3,95000000,Бостандыкский,2011,3.0,Компания,санузел 2 с/у и более,0
3,107.0,8,81000000,Бостандыкский,2015,3.0,Специалист,санузел 2 с/у и более,0
2,44.0,7,35000000,Жетысуский,2023,2.7,Крыша Агент,санузел совмещенный,0
2,84.0,2,25000000,Наурызбайский,2023,3.0,Специалист,санузел совмещенный,0
1,42.0,2,31000000,Ауэзовский,2015,3.2,Специалист,санузел раздельный,0
2,70.0,3,60000000,Медеуский,2022,3.0,Специалист,санузел совмещенный,0
6,288.0,14,200000000,Масанчи,2008,3.0,Специалист,санузел совмещенный,0
3,90.0,7,53000000,Алатауский,2011,2.8,Компания,санузел раздельный,0
1,35.1,2,17700000,Наурызбайский,2023,2.65,Хозяин недвижимости,санузел совмещенный,0
1,30.0,2,15000000,Алатауский,2019,2.7,Специалист,санузел совмещенный,0
1,37.0,10,23500000,Алатауский,2020,2.7,Хозяин недвижимости,санузел совмещенный,1
2,95.0,6,95000000,Медеуский,2017,3.2,Специалист,санузел 2 с/у и более,1
3,60.0,4,51000000,Наурызбайский,2013,2.9,Хозяин недвижимости,санузел совмещенный,0
3,68.0,3,45000000,Ауэзовский,1987,2.8,Хозяин недвижимости,санузел раздельный,1
1,28.0,9,18900000,Наурызбайский,2021,2.7,Хозяин недвижимости,санузел совмещенный,0
2,43.0,3,29500000,Бостандыкский,1976,2.7,Специалист,санузел совмещенный,0
3,114.2,14,120000000,Бостандыкский,2023,3.0,Хозяин недвижимости,санузел 2 с/у и более,0
2,63.0,1,35000000,Жетысуский,2010,2.7,Хозяин недвижимости,санузел раздельный,0
3,90.0,9,59999000,Алмалинский,2020,3.0,Специалист,санузел 2 с/у и более,0
3,82.7,2,79000000,Медеуский,1985,2.7,Специалист,санузел раздельный,1
4,140.0,15,87000000,Бостандыкский,2010,3.0,Специалист,санузел 2 с/у и более,0
3,120.0,14,85000000,Бостандыкский,2007,2.8,Хозяин недвижимости,санузел 2 с/у и более,0
2,54.0,2,37900000,Бостандыкский,1970,2.67,Специалист,санузел раздельный,0
1,44.0,5,22000000,Наурызбайский,2019,2.7,Хозяин недвижимости,санузел совмещенный,0
4,165.0,4,125000000,Бостандыкский,1997,2.8,Специалист,санузел 2 с/у и более,0
2,64.4,9,51000000,Бостандыкский,2019,3.5,Хозяин недвижимости,санузел совмещенный,1
2,44.0,5,28500000,Алмалинский,1974,2.7,Хозяин недвижимости,санузел совмещенный,0
2,71.9,13,66000000,Бостандыкский,2022,3.0,Хозяин недвижимости,санузел 2 с/у и более,1
1,33.3,12,25800000,Бостандыкский,2023,2.7,Хозяин недвижимости,санузел совмещенный,1
2,38.0,10,30000000,Ауэзовский,2018,3.0,Хозяин недвижимости,санузел совмещенный,1
2,85.0,4,93500000,Медеуский,2017,2.7,Хозяин недвижимости,санузел совмещенный,0
1,47.0,4,36000000,Бостандыкский,1971,2.8,Специалист,санузел совмещенный,0
4,105.0,5,85000000,Бостандыкский,1991,2.8,Компания,санузел раздельный,0
2,58.48,10,64400000,Алмалинский,2022,3.0,Хозяин недвижимости,санузел совмещенный,0
2,61.0,6,41000000,Ауэзовский,1992,2.8,Хозяин недвижимости,санузел раздельный,0
3,93.4,8,50500000,Алмалинский,2006,2.8,Хозяин недвижимости,санузел 2 с/у и более,0
3,126.0,7,86000000,Алмалинский,2012,3.0,Хозяин недвижимости,санузел 2 с/у и более,0
3,87.5,11,86000000,Бостандыкский,2023,3.0,Специалист,санузел совмещенный,0
2,46.45,10,50850000,Алмалинский,2022,3.0,Хозяин недвижимости,санузел совмещенный,0
2,67.4,2,53800000,Ауэзовский,2017,2.7,Хозяин недвижимости,санузел совмещенный,0
1,18.0,5,14000000,Ауэзовский,1975,2.7,Хозяин недвижимости,санузел совмещенный,1
3,125.5,3,138000000,Медеуский,2017,2.7,Хозяин недвижимости,санузел 2 с/у и более,0
2,45.0,17,50500000,Бостандыкский,2023,2.7,Хозяин недвижимости,санузел совмещенный,1
2,50.0,1,52000000,Бостандыкский,1962,2.8,Хозяин недвижимости,санузел совмещенный,0
3,112.0,6,123000000,Медеуский,2017,3.5,Хозяин недвижимости,санузел 2 с/у и более,0
